date,state,positive,negative,pending,hospitalized_currently,hospitalized_cumulative,in_icu_currently,in_icu_cumulative,on_ventilator_currently,on_ventilator_cumulative,recovered,data_quality_grade,last_update_et,hash,date_checked,death,hospitalized,total,total_test_results,pos_neg,fips,death_increase,hospitalized_increase,negative_increase,positive_increase,total_test_results_increase,fips_code,iso_subdivision,load_time,iso_country
2020-07-24,AK,2748,197824,,37,,,,1,,800,A,2020-07-24 00:00:00,4ed800f28080931e4bb0737b0dbcad613b757035,2020-07-24T00:00:00Z,19,,200572,200572,200572,2,0,0,10999,64,11063,2,US-AK,2020-07-25 00:05:13,US
2020-07-24,AL,76005,552979,,1570,9157,,1058,,565,32510,B,2020-07-24 11:00:00,4718e0aea8aa7c100fd571642ec4abcb57b02fed,2020-07-24T11:00:00Z,1438,9157,628984,628984,628984,1,41,162,7664,1793,9457,1,US-AL,2020-07-25 00:05:13,US
2020-07-24,AR,37249,424215,,497,2361,,,109,329,29827,A+,2020-07-24 14:46:00,743c3a7f26ca7cf1ce0f7a6aedb4d935d2840ab9,2020-07-24T14:46:00Z,394,2361,461464,461464,461464,5,8,0,13994,990,14984,5,US-AR,2020-07-25 00:05:13,US
2020-07-24,AS,0,1037,,,,,,,,,C,2020-07-16 00:00:00,f959d1a6b8d4b3f47c048f022a17cfc45bac67e4,2020-07-16T00:00:00Z,0,,1037,1037,1037,60,0,0,0,0,0,60,US-AS,2020-07-25 00:05:13,US
2020-07-24,AZ,156301,680516,,2844,7461,837,,575,,20171,A+,2020-07-24 00:00:00,e16d3bbbbdab36942336b77d242ead15a4ff0c1b,2020-07-24T00:00:00Z,3142,7461,836817,836817,836817,4,79,225,10747,3357,14104,4,US-AZ,2020-07-25 00:05:13,US
2020-07-24,CA,435334,6480542,,8820,,2220,,,,,B,2020-07-24 00:00:00,f7d6cbd455883f910ff6d48be3eff6b8fbba1ac0,2020-07-24T00:00:00Z,8186,,6915876,6915876,6915876,6,159,0,127854,9718,137572,6,US-CA,2020-07-25 00:05:13,US
2020-07-24,CO,42314,428563,,356,6149,,,,,5122,A,2020-07-24 01:59:00,306754c536c9af0ead9acc0507e0e89a47939aa3,2020-07-24T01:59:00Z,1645,6149,470877,470877,470877,8,2,16,4850,616,5466,8,US-CO,2020-07-25 00:05:13,US
2020-07-24,CT,48776,664296,,71,10712,,,,,8516,B,2020-07-23 20:30:00,aa2a6a53e8cbbe1d7de14440d5d187bbb87324ca,2020-07-23T20:30:00Z,4413,10712,713072,713072,713072,9,3,0,24640,544,25184,9,US-CT,2020-07-25 00:05:13,US
2020-07-24,DC,11649,153611,,97,,21,,9,,9582,A+,2020-07-23 00:00:00,978c60189a8df67459f6b1c7b145c675ec0a3151,2020-07-23T00:00:00Z,581,,165260,165260,165260,11,0,0,3161,78,3239,11,US-DC,2020-07-25 00:05:13,US
2020-07-24,DE,14202,150124,,55,,9,,,,7936,A+,2020-07-23 18:00:00,e1bb939472aa24cc2b732a58da581eea38f87452,2020-07-23T18:00:00Z,578,,164326,164326,164326,10,49,0,1697,278,1975,10,US-DE,2020-07-25 00:05:13,US
2020-07-24,FL,402312,2874324,2727,9200,23575,,,,,,A,2020-07-23 23:59:00,7c19c32c2b2dbe31a15fd601b30946a8cfcc7b80,2020-07-23T23:59:00Z,5768,23575,3279363,3276636,3276636,12,136,584,53250,12444,65694,12,US-FL,2020-07-25 00:05:13,US
2020-07-24,GA,161401,1221043,,3135,16752,,3119,,,,A,2020-07-24 14:50:00,da841732ad12875a805a5b8259798418c798d3ac,2020-07-24T14:50:00Z,3442,16752,1382444,1382444,1382444,13,82,399,40693,4813,45506,13,US-GA,2020-07-25 00:05:13,US
2020-07-24,GU,337,19132,,0,,,,,,244,B,2020-07-24 00:00:00,4300ab74ceee940d5a90401215f1ac74d7194f66,2020-07-24T00:00:00Z,5,,19469,19469,19469,66,0,0,0,5,5,66,US-GU,2020-07-25 00:05:13,US
2020-07-24,HI,1490,109801,,39,155,,,,,1125,D,2020-07-23 18:00:00,b75180469fe246f52d6e8e7f4c796a3670adbf79,2020-07-23T18:00:00Z,26,155,111291,111291,111291,15,1,1,2423,55,2478,84,US-UM,2020-07-25 00:05:13,US
2020-07-24,HI,1490,109801,,39,155,,,,,1125,D,2020-07-23 18:00:00,b75180469fe246f52d6e8e7f4c796a3670adbf79,2020-07-23T18:00:00Z,26,155,111291,111291,111291,15,1,1,2423,55,2478,15,US-HI,2020-07-25 00:05:13,US
2020-07-24,IA,41271,400602,,230,,72,,27,,29216,A+,2020-07-24 00:00:00,120d3fa2b3815d610f0b0191c68258c35cd9b335,2020-07-24T00:00:00Z,823,,441873,441873,441873,19,5,0,4950,637,5587,19,US-IA,2020-07-25 00:05:13,US
2020-07-24,ID,16736,143457,,204,697,46,207,,,5008,A,2020-07-23 19:00:00,477ebfc42c39a3ce25b81bcd48f570e5c5256945,2020-07-23T19:00:00Z,138,697,160193,160193,160193,16,3,23,2953,414,3367,16,US-ID,2020-07-25 00:05:13,US
2020-07-24,IL,169699,2264066,,1471,,325,,115,,,A,2020-07-24 00:00:00,db46f5972ee7003f4b7b9cb5a8eecdd4aec7ca0a,2020-07-24T00:00:00Z,7577,,2433765,2433765,2433765,17,17,0,42798,1599,44397,17,US-IL,2020-07-25 00:05:13,US
2020-07-24,IN,60598,618151,,850,8128,313,1725,69,,43066,A+,2020-07-23 23:59:00,6fcab473d926133241520463f32d8ac2be4f7c46,2020-07-23T23:59:00Z,2884,8128,678749,678749,678749,18,4,62,11470,996,12466,18,US-IN,2020-07-25 00:05:13,US
2020-07-24,KS,25109,252858,,,1596,98,459,24,166,1077,A+,2020-07-24 10:00:00,83d4d52736b33155258cadca2ed48faf5bead969,2020-07-24T10:00:00Z,326,1596,277967,277967,277967,20,18,51,8276,1005,9281,20,US-KS,2020-07-25 00:05:13,US
2020-07-24,KY,25931,507545,,618,3248,130,1125,,,7396,B,2020-07-24 00:00:00,712f191500f73229175a77c5662ae6223f2c36f7,2020-07-24T00:00:00Z,691,3248,533476,533476,533476,21,7,327,7897,784,8681,21,US-KY,2020-07-25 00:05:13,US
2020-07-24,LA,103734,1095992,,1600,,,,197,,61456,A,2020-07-24 13:00:00,dfa5f4b618ce187e9407a8d1275fc277840930ca,2020-07-24T13:00:00Z,3715,,1199726,1199726,1199726,22,29,0,22774,2084,24858,22,US-LA,2020-07-25 00:05:13,US
2020-07-24,MA,114647,971605,,351,11770,59,,30,,96452,A+,2020-07-23 10:00:00,7e82eb73e085cec6ae8433aecff2b04c9c509988,2020-07-23T10:00:00Z,8484,11770,1086252,1086252,1086252,25,16,9,15863,327,16190,25,US-MA,2020-07-25 00:05:13,US
2020-07-24,MD,81766,722584,,533,12119,143,,,,5434,A,2020-07-24 10:00:00,27bbcd9edfb90cc75fc929f3fba915d667c6b002,2020-07-24T10:00:00Z,3422,12119,804350,804350,804350,24,13,82,14379,930,15309,24,US-MD,2020-07-25 00:05:13,US
2020-07-24,ME,3757,146863,,12,378,9,,3,,3259,A+,2020-07-23 23:59:00,c9f465eb89030e602d23ef6a86c7d58a56880858,2020-07-23T23:59:00Z,118,378,150620,150620,150620,23,0,0,2925,20,2945,23,US-ME,2020-07-25 00:05:13,US
